R1,R2,RC,RE,C1,C2,Gain,Cutoff_Frequency,Phase_Margin
43708.61,16703.35,7012.52,1837.36,6.898,7.441,11.76,10.0,90.0
95564.29,2920.78,4941.92,1902.92,4.184,8.823,6.27,10.0,90.0
75879.45,6815.92,1029.22,58.6,2.875,4.685,24.4,10.0,81.84
63879.26,19568.3,9225.85,668.3,6.197,2.963,22.97,10.0,71.58
24041.68,13688.46,9813.13,1682.89,7.429,3.257,14.71,10.0,75.57
24039.51,23271.26,4594.91,1096.07,2.62,7.0,13.58,10.0,90.0
15227.53,11290.03,6329.78,1624.64,3.064,5.719,11.8,10.0,90.0
87955.85,21875.5,4777.84,1713.98,6.439,4.916,8.82,10.0,84.13
64100.35,11774.93,3557.86,913.12,9.656,2.107,10.74,10.0,70.03
73726.53,24501.96,1234.53,750.02,2.217,8.767,5.0,10.0,90.0
11852.6,24036.03,4832.64,938.09,6.577,7.832,14.29,10.0,87.17
97291.89,8899.28,8274.65,1322.95,9.075,1.492,14.64,10.0,67.89
84919.84,22262.17,661.8,765.96,4.673,3.737,5.0,10.0,86.51
29110.52,21342.67,6030.02,1561.23,3.237,5.467,11.24,10.0,90.0
26364.25,6056.33,8867.34,1812.79,6.702,4.598,13.5,10.0,80.25
26506.41,15982.97,2566.72,600.51,0.411,4.038,12.66,10.63,90.0
37381.8,2744.38,2240.93,1931.73,3.666,7.216,5.0,10.0,90.0
57228.08,21081.06,7836.63,1264.31,2.654,0.64,15.91,10.0,70.05
48875.05,5189.1,2923.32,1762.43,2.324,4.767,5.0,10.0,90.0
36210.62,2699.55,2323.85,252.64,1.88,2.696,17.99,14.05,84.6
65066.76,10605.26,4090.9,540.42,7.397,0.938,17.54,10.0,70.32
22554.45,14846.13,4228.77,675.99,9.555,4.702,16.01,10.0,75.2
36293.02,21518.01,8803.96,640.5,3.909,1.797,22.85,10.0,73.87
42972.57,24381.82,6375.21,385.13,0.586,2.656,24.24,10.0,89.81
51046.3,11547.82,4356.63,1742.99,7.217,5.119,7.48,10.0,80.72
80665.84,2450.73,5576.69,866.29,5.428,9.74,14.12,10.0,90.0
27970.64,18978.77,9562.67,1928.1,7.264,6.874,14.18,10.0,85.72
56281.1,14564.16,1575.54,1187.77,6.514,2.868,5.0,10.0,75.66
63317.31,11749.39,2473.3,319.87,9.064,3.886,17.83,10.0,73.01
14180.54,8422.45,9644.02,1114.51,1.49,4.121,18.45,10.0,90.0
64679.04,13057.56,9594.59,1987.41,1.775,1.621,13.4,10.0,83.24
25347.17,9128.31,2183.07,1152.08,3.482,1.69,5.35,10.0,77.31
15854.64,19168.28,1878.53,53.65,4.965,1.569,30.54,10.0,71.87
95399.7,14053.45,4500.31,1869.51,9.265,5.264,7.81,10.0,80.57
96906.88,22044.35,972.32,508.04,9.079,6.774,5.0,10.0,83.17
82755.76,14045.05,6721.58,1392.63,8.732,5.948,14.47,10.0,80.41
37415.24,6718.3,1236.21,1054.41,2.303,9.78,5.0,10.0,90.0
18790.49,21426.21,1051.28,684.6,7.324,1.346,5.0,10.0,71.12
71580.97,14373.26,5109.28,601.15,3.897,9.866,18.62,10.0,90.0
